feature,importance
chan_lag_1,0.31662467
day_of_week,0.30240163
is_weekend,0.12136074
demand_yoy_pct_change,0.1135471
incoming_stock,0.03206281
elasticity_proxy,0.024382105
reorder_point,0.009566791
lead_time_days,0.008050986
loc_lag_1,0.0072808135
day_of_month,0.006275179
festival_uplift,0.0054088063
is_seasonal,0.0053993943
loc_rolling_7_mean,0.0050515323
loc_rolling_7_std,0.0046390533
loc_lag_7,0.0038606257
opening_stock,0.0037056687
week_of_year,0.003543737
chan_rolling_7_mean,0.003394662
loc_lag_14,0.003108051
returns,0.0030185091
stockout_flag,0.0026576945
mrp,0.0023119552
safety_stock,0.0014744574
cost,0.0012178408
loc_rolling_30_mean,0.0009281217
weather_factor,0.00091637403
year,0.0008837667
comp_promo_flag,0.0008288896
population,0.00081766245
avg_income_index,0.00071781967
closing_stock,0.0006901945
waste_spoiled,0.00062104565
price,0.0006001365
cold_storage_available,0.0005376281
promo_flag,0.00049812626
shelf_life_days,0.00045352938
mos,0.00039674662
base_price,0.00030650027
min_order_qty,0.00020257277
macro_factor,0.00010296844
promo_depth,8.709682e-05
storage_capacity_units,6.0944603e-05
loc_lag_30,5.0734434e-06
quarter,0.0
days_since_promo,0.0
promo_run,0.0
